country_code,country_name,region,colonial_history,width,height,aspect_ratio,hex_colors,color_percentages,unique_colors,most_common_color,has_red,has_blue,has_green,has_yellow,has_white,has_black,has_orange,has_purple,horizontal_symmetry,vertical_symmetry,horizontal_stripes,vertical_stripes,cross,saltire,canton,circle,star,crescent,triangle,emblem,aspect_ratio_category,horizontal_symmetry_level,vertical_symmetry_level,complexity_score
ke,Kenya,Africa,British,600,400,1.5,"['#ba0202', '#026601', '#f5f1f0', '#020101', '#cf8d8a']","[0.29333333333333333, 0.2916666666666667, 0.09616666666666666, 0.3, 0.018833333333333334]",4,red,True,False,True,False,True,True,False,False,0.5525795098039216,0.997283954248366,True,False,False,False,True,False,True,False,True,True,2:3,Low,High,7
kg,kg,Unknown,Unknown,600,360,1.6666666666666667,"['#ee2736', '#fdd702', '#f57b1d', '#f9ab0f', '#f14f2a']","[0.8616666666666667, 0.04716666666666667, 0.025833333333333333, 0.033166666666666664, 0.03216666666666667]",2,red,True,False,False,True,False,False,False,False,0.9542607480029048,0.9699904502541757,False,True,True,False,False,False,True,False,True,True,3:5,High,High,6
kh,kh,Unknown,Unknown,600,384,1.5625,"['#a7636e', '#042da0', '#de0025', '#b5afb0', '#dedfdf']","[0.014, 0.5, 0.3935, 0.05566666666666667, 0.036833333333333336]",4,red,True,True,False,False,True,False,False,False,0.9428391884531591,0.9833091639433551,True,True,True,False,True,False,True,False,True,True,Other,High,High,9
ki,ki,Unknown,Unknown,600,300,2.0,"['#e7bc01', '#193171', '#c71210', '#faf9f9', '#8d94b3']","[0.066, 0.21266666666666667, 0.451, 0.22466666666666665, 0.04566666666666667]",5,yellow,True,True,False,True,True,False,False,False,0.7532479302832245,0.9801779520697168,True,True,True,False,True,False,True,False,True,True,1:2,Medium,High,10
km,km,Unknown,Unknown,600,360,1.6666666666666667,"['#cc1227', '#3d76c1', '#fcfcfa', '#fec61e', '#3f8f35']","[0.15666666666666668, 0.22483333333333333, 0.18433333333333332, 0.21833333333333332, 0.21583333333333332]",5,red,True,True,True,True,True,False,False,False,0.625632098765432,0.7856730573710966,True,False,False,False,False,False,True,False,False,False,3:5,Low,Medium,7
kn,kn,Unknown,Unknown,600,400,1.5,"['#030201', '#f1c916', '#039d49', '#cc1325', '#ececec']","[0.291, 0.10966666666666666, 0.2856666666666667, 0.2853333333333333, 0.028333333333333332]",5,black,True,False,True,True,True,True,False,False,0.6138403267973855,0.6136980392156863,True,True,False,False,False,False,False,False,False,False,2:3,Low,Low,7
kp,kp,Unknown,Unknown,600,300,2.0,"['#ec1b26', '#0350a2', '#f6fafd', '#fbb4b7', '#f2636b']","[0.5386666666666666, 0.3333333333333333, 0.07633333333333334, 0.041166666666666664, 0.0105]",4,red,True,True,False,True,True,False,False,False,0.9872660566448802,0.9339928540305011,True,True,False,False,False,False,True,False,False,False,1:2,High,High,7
kr,kr,Unknown,Unknown,600,400,1.5,"['#fefefe', '#124993', '#ca2f3c', '#0a0a0a', '#a8a3a8']","[0.7605, 0.07616666666666666, 0.06383333333333334, 0.06166666666666667, 0.03783333333333333]",5,white,True,True,False,False,True,True,False,False,0.9814959803921569,0.9836835620915033,True,True,True,False,False,False,True,False,False,True,2:3,High,High,10
kw,kw,Unknown,Unknown,600,300,2.0,"['#007a3d', '#fffffe', '#cd1126', '#010000', '#f1efee']","[0.2916666666666667, 0.222, 0.2916666666666667, 0.16666666666666666, 0.028]",4,white,True,False,True,False,True,True,False,False,0.9914901960784314,0.880474945533769,True,True,True,False,True,False,False,False,False,False,1:2,High,High,7
kz,kz,Unknown,Unknown,600,300,2.0,"['#42b498', '#00afc9', '#f9c40d', '#b0be45', '#7eb96b']","[0.033166666666666664, 0.8596666666666667, 0.030833333333333334, 0.0375, 0.03883333333333333]",3,green,False,True,True,True,False,False,False,False,0.9659308496732026,0.920734422657952,False,False,False,False,False,False,True,False,True,True,1:2,High,High,5
la,la,Unknown,Unknown,600,400,1.5,"['#cd1126', '#012767', '#fefefe', '#5c759e', '#cfd6e2']","[0.5, 0.41133333333333333, 0.078, 0.006666666666666667, 0.004]",3,blue,True,True,False,False,True,False,False,False,0.9999841176470589,0.9994375816993464,True,True,True,False,False,False,True,False,False,False,2:3,High,High,7
lb,lb,Unknown,Unknown,600,400,1.5,"['#ed1d24', '#fefdfd', '#05a652', '#59c48c', '#b8e5ce']","[0.5, 0.4141666666666667, 0.052833333333333336, 0.0185, 0.0145]",3,green,True,False,True,False,True,False,False,False,0.9756727124183007,0.9775532352941176,True,True,False,False,True,False,True,False,True,True,2:3,High,High,7
lc,lc,Unknown,Unknown,600,300,2.0,"['#060504', '#66ccfe', '#7a6f3f', '#e6f0f3', '#f9d01a']","[0.032, 0.8603333333333333, 0.007666666666666666, 0.03233333333333333, 0.06766666666666667]",5,black,True,True,False,True,True,True,False,False,0.8632906318082789,0.9964632679738562,False,True,False,False,False,False,False,False,False,False,1:2,High,High,6
li,li,Unknown,Unknown,600,360,1.6666666666666667,"['#002a7e', '#cd1126', '#ceaf31', '#7a6b27', '#0f0e0b']","[0.46, 0.5, 0.017166666666666667, 0.017833333333333333, 0.005]",4,red,True,True,False,True,False,True,False,False,0.1616575889615105,0.9469612926652142,False,False,False,False,False,False,True,False,False,True,3:5,Low,High,6
lk,lk,Unknown,Unknown,600,300,2.0,"['#bd7e29', '#891637', '#06534c', '#fcbd28', '#ec7501']","[0.09816666666666667, 0.31666666666666665, 0.104, 0.37716666666666665, 0.104]",3,red,True,False,True,True,False,False,False,False,0.9274520261437909,0.5968585620915032,True,True,False,False,False,False,True,False,False,True,1:2,High,Low,7
lr,lr,Unknown,Unknown,600,315,1.9047619047619047,"['#be082f', '#fefefe', '#032968', '#efc9d2', '#dfa1b1']","[0.44, 0.30816666666666664, 0.09633333333333334, 0.0955, 0.06]",4,white,True,True,False,True,True,False,False,False,0.8489398859331418,0.874825230833074,True,True,False,False,True,False,False,False,False,False,Other,Medium,High,6
ls,ls,Unknown,Unknown,600,400,1.5,"['#131313', '#fcfdfd', '#01209f', '#019543', '#8b8b8b']","[0.030333333333333334, 0.35983333333333334, 0.3, 0.3, 0.009833333333333333]",5,black,False,True,True,False,True,True,False,False,0.5010258496732026,0.9948266993464052,True,True,True,False,True,False,True,False,True,True,2:3,Low,High,10
